name,$id,$version,$created_by,$created_instant,$modified_by,$modified_instant,order_id,employee_id,product,amount,date,customer
,98d9850c45b419117ace1c5f92c9c5a9.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,11,1,Printer,2900,2024-04-06,David Wallace
,1c1b0ddbf485e64b61ac82341934c2a7.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,12,3,Ink,3300,2024-04-11,Sabre Corporation
,87267def0c56d0c44ca03886ae07f588.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,13,5,Stapler,3600,2024-04-16,Beach Games Inc.
,d99bf95f4c67317ae3f1a5f5e3d5c581.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,14,2,Paper,3000,2024-05-03,Warehouse Department
,22b1b1bdec56e64d1e681b0285f644e7.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,15,4,Printer,3300,2024-05-08,Walter Bernard & Son Paper Company
,c03744bd9086fd156fba3ba55cd390bb.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,16,6,Ink,2800,2024-05-13,Alfredo's Pizza Cafe
,5b7f7f6b10ab0452d6888b1848c47842.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,17,8,Stapler,3200,2024-05-18,Stratford School
,9fd743b3f931fa3ee498068629cbae40.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,18,7,Paper,2900,2024-06-01,University of Scranton
,876b0e0321ac084883f852f01ebc535f.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,19,9,Printer,3100,2024-06-06,Schrute Industries
,bc93edbe41a9e8960a4e8ad75f783647.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,20,10,Ink,3400,2024-06-11,Dunmore High School
,3bf35744db409cc07ba25f027401c323.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,21,1,Printer,2700,2024-06-16,The Steamtown Mall
,c17561afef970b90c0b94541583a1b20.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,22,3,Paper,3000,2024-07-03,Alfredo's Pizza Cafe
,c3ba84a3456f70c26c7db48b660386ac.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,23,5,Stapler,3300,2024-07-08,Lackawanna County Public Library
,e1229188c217f7eb72bb347531bdbe49.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,24,2,Paper,2800,2024-07-13,Stamford Branch
,a1ac0d9bd17ae6c6c3e8517f4cd1447a.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,25,4,Printer,3100,2024-07-18,Scranton White Pages
,ba84a6a8af4db19328f9cde9ed9f50fb.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,26,6,Ink,3500,2024-08-01,Lake Scranton Park
,2c149f9ab6af84f27d2b332fa0012f20.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,27,8,Paper,2900,2024-08-06,Steamtown USA
,c6284f2bd83ac57225e2cca3a28a75a4.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,28,7,Stapler,3200,2024-08-11,Cooper's Seafood Restaurant
,9244166e1ac3906b2487ed109bd2071a.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,29,9,Printer,2700,2024-08-16,Bellevue Women's Hospital
,11146159fcce40d830552d41a8c4f1bb.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,30,10,Ink,3000,2024-08-21,St. Joseph's Center
